Source,Target,Type,Label,Weight
ART_15,AUT_Анненкова,Directed,cites,1
ART_15,AUT_Гусарова,Directed,cites,1
ART_15,AUT_Харламенко,Directed,cites,1
ART_15,AUT_Ельникова,Directed,cites,1
ART_15,AUT_Мушенко,Directed,cites,1
ART_15,AUT_Рязанцева,Directed,cites,1
ART_15,AUT_Авраменко,Directed,cites,1
ART_15,AUT_Завадская,Directed,cites,1
ART_15,AUT_Добренко,Directed,cites,1
ART_15,AUT_Бурханова,Directed,cites,1
ART_15,AUT_Дзюба,Directed,cites,1
ART_15,AUT_Филатова,Directed,cites,1
ART_15,AUT_Левинский,Directed,cites,1
ART_15,AUT_Буторина,Directed,cites,1
ART_15,AUT_Котлярова,Directed,cites,1
ART_15,AUT_Еремина,Directed,cites,1
ART_15,AUT_Легостаева,Directed,cites,1
ART_15,AUT_Сысоев,Directed,cites,1
ART_15,AUT_Суханова,Directed,cites,1
ART_15,AUT_Тормышова,Directed,cites,1
ART_15,AUT_Ахмедова,Directed,cites,1
ART_15,AUT_Буланова,Directed,cites,1
ART_15,AUT_Коровникова,Directed,cites,1
ART_15,AUT_Ватьян,Directed,cites,1
ART_15,AUT_Филатов,Directed,cites,1
ART_15,AUT_Клочихин,Directed,cites,1
ART_16,AUT_Соловейчик,Directed,cites,1
ART_16,AUT_Кузьмин,Directed,cites,1
ART_16,AUT_Беляева,Directed,cites,1
ART_16,AUT_Колесников,Directed,cites,1
ART_16,AUT_Пикрвер,Directed,cites,1
ART_16,AUT_Форд,Directed,cites,1
ART_17,AUT_Садыкова,Directed,cites,1
ART_17,AUT_Жалилова,Directed,cites,1
ART_17,AUT_Шмидт,Directed,cites,1
ART_17,AUT_Асанова,Directed,cites,1
ART_17,AUT_Иванова,Directed,cites,1
ART_17,AUT_Усенова,Directed,cites,1
ART_17,AUT_Аманова,Directed,cites,1
ART_18,AUT_Колотыгина,Directed,cites,1
ART_18,AUT_Коллегов,Directed,cites,1
ART_18,AUT_Ли,Directed,cites,1
ART_18,AUT_Козловцева,Directed,cites,1
ART_18,AUT_Алферьева,Directed,cites,1
ART_18,AUT_Щукин,Directed,cites,1
ART_18,AUT_Сидоренко,Directed,cites,1
ART_19,AUT_Дудихин,Directed,cites,1
ART_19,AUT_Орлова,Directed,cites,1
ART_19,AUT_Свердлова,Directed,cites,1
ART_19,AUT_Козловцева,Directed,cites,1
ART_19,AUT_Донина,Directed,cites,1
ART_19,AUT_Брагин,Directed,cites,1
ART_19,AUT_Паскова,Directed,cites,1
ART_19,AUT_Сойлен,Directed,cites,1
ART_19,AUT_Кондрашов,Directed,cites,1
ART_19,AUT_Термсикос,Directed,cites,1
ART_19,AUT_Осипенко,Directed,cites,1
ART_19,AUT_Сысоев,Directed,cites,1
ART_19,AUT_Ильдуганова,Directed,cites,1
ART_19,AUT_Бахтизин,Directed,cites,1
ART_19,AUT_Тихонова,Directed,cites,1
ART_19,AUT_Рафаэльян,Directed,cites,1
ART_19,AUT_Макаров,Directed,cites,1
ART_19,AUT_Коротков,Directed,cites,1
ART_19,AUT_Филатов,Directed,cites,1
ART_20,AUT_Турко,Directed,cites,1
ART_20,AUT_Чернышенко,Directed,cites,1
ART_20,AUT_Еремина,Directed,cites,1
ART_20,AUT_Пласкина,Directed,cites,1
ART_20,AUT_Дьякова,Directed,cites,1
ART_20,AUT_Массалова,Directed,cites,1
ART_20,AUT_Яковлева,Directed,cites,1
ART_20,AUT_Виноградова,Directed,cites,1
ART_20,AUT_Мушенко,Directed,cites,1
ART_20,AUT_Холодкова,Directed,cites,1
ART_20,AUT_Жеребцова,Directed,cites,1
ART_20,AUT_Дзюба,Directed,cites,1
ART_20,AUT_Филиппов,Directed,cites,1
ART_20,AUT_Конышева,Directed,cites,1
ART_21,AUT_Шимкович,Directed,cites,1
ART_21,AUT_Тхи,Directed,cites,1
ART_21,AUT_Козловцева,Directed,cites,1
ART_21,AUT_Ванновская,Directed,cites,1
ART_21,AUT_Мушенко,Directed,cites,1
ART_21,AUT_Булат,Directed,cites,1
ART_21,AUT_Ерёмина,Directed,cites,1
ART_21,AUT_Байчорова,Directed,cites,1
ART_21,AUT_Дзюба,Directed,cites,1
ART_21,AUT_Шадрина,Directed,cites,1
ART_21,AUT_Писарь,Directed,cites,1
ART_21,AUT_Кожевникова,Directed,cites,1
ART_21,AUT_Матухин,Directed,cites,1
ART_21,AUT_Сысоев,Directed,cites,1
ART_21,AUT_Строцкая,Directed,cites,1
ART_21,AUT_Чепуренко,Directed,cites,1
ART_21,AUT_Петрова,Directed,cites,1
ART_21,AUT_Филатов,Directed,cites,1
ART_22,AUT_Козловцева,Directed,cites,1
ART_22,AUT_Титова,Directed,cites,1
ART_22,AUT_Ивахненко,Directed,cites,1
ART_22,AUT_Мушенко,Directed,cites,1
ART_22,AUT_Киреева,Directed,cites,1
ART_22,AUT_Штыхно,Directed,cites,1
ART_22,AUT_Константинова,Directed,cites,1
ART_22,AUT_Резаев,Directed,cites,1
ART_22,AUT_Трегубова,Directed,cites,1
ART_22,AUT_Дзюба,Directed,cites,1
ART_22,AUT_Ворожихин,Directed,cites,1
ART_22,AUT_Еремина,Directed,cites,1
ART_22,AUT_Сысоев,Directed,cites,1
ART_22,AUT_Петров,Directed,cites,1
ART_22,AUT_Пашковская,Directed,cites,1
ART_22,AUT_Быков,Directed,cites,1
ART_22,AUT_Ильина,Directed,cites,1
ART_22,AUT_Никольский,Directed,cites,1
ART_22,AUT_Филатов,Directed,cites,1
ART_23,AUT_Карасик,Directed,cites,1
ART_23,AUT_Зубарева,Directed,cites,1
ART_23,AUT_Павиленис,Directed,cites,1
ART_23,AUT_Кочетова,Directed,cites,1
ART_23,AUT_Курочкина,Directed,cites,1
ART_23,AUT_Лузина,Directed,cites,1
ART_23,AUT_Моркина,Directed,cites,1
ART_23,AUT_Панкрац,Directed,cites,1
ART_23,AUT_Пименова,Directed,cites,1
ART_23,AUT_Демьянков,Directed,cites,1
ART_23,AUT_Зыкова,Directed,cites,1
ART_23,AUT_Шустова,Directed,cites,1
ART_23,AUT_Худяков,Directed,cites,1
ART_23,AUT_Кубрякова,Directed,cites,1
ART_23,AUT_Воркачев,Directed,cites,1
ART_23,AUT_Дубровская,Directed,cites,1
ART_23,AUT_Шестова,Directed,cites,1
ART_23,AUT_Привалова,Directed,cites,1
ART_23,AUT_Винокурова,Directed,cites,1
ART_23,AUT_Челпанова,Directed,cites,1
ART_23,AUT_Арутюнян,Directed,cites,1
ART_23,AUT_Кокова,Directed,cites,1
ART_23,AUT_Фомин,Directed,cites,1
ART_23,AUT_Дроздова,Directed,cites,1
ART_23,AUT_Евсеева,Directed,cites,1
ART_23,AUT_Ткаченко,Directed,cites,1
ART_23,AUT_Чухарев,Directed,cites,1
ART_23,AUT_Аруноаст,Directed,cites,1
ART_24,AUT_Земляков,Directed,cites,1
ART_24,AUT_Зарипова,Directed,cites,1
ART_24,AUT_Бегишев,Directed,cites,1
ART_24,AUT_Матюшок,Directed,cites,1
ART_24,AUT_Хисамова,Directed,cites,1
ART_24,AUT_Есионова,Directed,cites,1
ART_24,AUT_Пырнова,Directed,cites,1
ART_24,AUT_Землякова,Directed,cites,1
ART_24,AUT_Петрова,Directed,cites,1
ART_24,AUT_Котельникова,Directed,cites,1
ART_24,AUT_Дробахина,Directed,cites,1
ART_25,AUT_Крепкогорская,Directed,cites,1
ART_25,AUT_Ситдиков,Directed,cites,1
ART_25,AUT_Ситдикова,Directed,cites,1
ART_25,AUT_Кашпирева,Directed,cites,1
ART_25,AUT_Семенов,Directed,cites,1
ART_25,AUT_Аиткулова,Directed,cites,1
ART_25,AUT_Сальникова,Directed,cites,1
ART_25,AUT_Пырнова,Directed,cites,1
ART_27,AUT_Дизон,Directed,cites,1
ART_27,AUT_Йованович,Directed,cites,1
ART_27,AUT_Сысоев,Directed,cites,1
